CurveName,Tenor,NPV,Duration,Convexity
PIECEWISE_DISCOUNT_LOGLINEAR:ROLLING_AVERAGE_ZERO,10 Years,104.728748,8.026113,73.804686
PIECEWISE_DISCOUNT_LOGLINEAR:ROLLING_AVERAGE_ZERO,20 Years,101.104187,12.710610,211.574633
PIECEWISE_DISCOUNT_LOGLINEAR:ROLLING_AVERAGE_ZERO,30 Years,118.007631,17.614524,429.261167
PIECEWISE_DISCOUNT_LOGLINEAR:DUAL_BLENDED_ZERO,5 Years,104.329748,4.497433,21.590601
PIECEWISE_DISCOUNT_LOGLINEAR:DUAL_BLENDED_ZERO,10 Years,104.717554,8.025864,73.801587
PIECEWISE_DISCOUNT_LOGLINEAR:DUAL_BLENDED_ZERO,20 Years,101.072347,12.708919,211.536314
PIECEWISE_DISCOUNT_LOGLINEAR:DUAL_BLENDED_ZERO,30 Years,118.103258,17.627406,429.785394
PIECEWISE_ZERO_CUBIC:FLAT_FORWARD,5 Years,104.328912,4.497294,21.589531
PIECEWISE_ZERO_CUBIC:FLAT_FORWARD,10 Years,104.698575,8.024718,73.785557
PIECEWISE_ZERO_CUBIC:FLAT_FORWARD,20 Years,101.040246,12.703650,211.405341
PIECEWISE_ZERO_CUBIC:FLAT_FORWARD,30 Years,118.054574,17.632282,430.217498
PIECEWISE_ZERO_CUBIC:CONSTANT_FORWARD,5 Years,104.328912,4.497294,21.589531
PIECEWISE_ZERO_CUBIC:CONSTANT_FORWARD,10 Years,104.698575,8.024718,73.785557
PIECEWISE_ZERO_CUBIC:CONSTANT_FORWARD,20 Years,101.040246,12.703650,211.405341
PIECEWISE_ZERO_CUBIC:CONSTANT_FORWARD,30 Years,118.012046,17.627823,430.048179
PIECEWISE_ZERO_CUBIC:LINEARLY_GRADED_FORWARD,5 Years,104.328912,4.497294,21.589531
PIECEWISE_ZERO_CUBIC:LINEARLY_GRADED_FORWARD,10 Years,104.698575,8.024718,73.785557
PIECEWISE_ZERO_CUBIC:LINEARLY_GRADED_FORWARD,20 Years,101.040246,12.703650,211.405341
PIECEWISE_ZERO_CUBIC:LINEARLY_GRADED_FORWARD,30 Years,118.054247,17.632248,430.216199
