CurveName,Tenor,NPV,Duration,Convexity
PIECEWISE_ZERO_CUBIC:ROLLING_AVERAGE_FORWARD,5 Years,104.328912,4.497294,21.589531
PIECEWISE_ZERO_CUBIC:ROLLING_AVERAGE_FORWARD,10 Years,104.698575,8.024718,73.785557
PIECEWISE_ZERO_CUBIC:ROLLING_AVERAGE_FORWARD,20 Years,101.040521,12.703670,211.405856
PIECEWISE_ZERO_CUBIC:ROLLING_AVERAGE_FORWARD,30 Years,101.859701,15.680933,356.443880
PIECEWISE_ZERO_CUBIC:DUAL_BLENDED_FORWARD,5 Years,104.328912,4.497294,21.589531
PIECEWISE_ZERO_CUBIC:DUAL_BLENDED_FORWARD,10 Years,104.698575,8.024718,73.785557
PIECEWISE_ZERO_CUBIC:DUAL_BLENDED_FORWARD,20 Years,101.040521,12.703670,211.405856
PIECEWISE_ZERO_CUBIC:DUAL_BLENDED_FORWARD,30 Years,101.858525,15.680767,356.437604
PIECEWISE_ZERO_CUBIC:FLAT_ZERO,5 Years,104.332603,4.497394,21.590184
PIECEWISE_ZERO_CUBIC:FLAT_ZERO,10 Years,104.736968,8.025538,73.795700
PIECEWISE_ZERO_CUBIC:FLAT_ZERO,20 Years,101.097535,12.706359,211.462971
PIECEWISE_ZERO_CUBIC:FLAT_ZERO,30 Years,101.946560,15.688596,356.699761
PIECEWISE_ZERO_CUBIC:CONSTANT_ZERO,5 Years,104.332603,4.497394,21.590184
PIECEWISE_ZERO_CUBIC:CONSTANT_ZERO,10 Years,104.736968,8.025538,73.795700
PIECEWISE_ZERO_CUBIC:CONSTANT_ZERO,20 Years,101.097535,12.706359,211.462971
PIECEWISE_ZERO_CUBIC:CONSTANT_ZERO,30 Years,101.912951,15.683875,356.520568
PIECEWISE_ZERO_CUBIC:LINEARLY_GRADED_ZERO,5 Years,104.332603,4.497394,21.590184
PIECEWISE_ZERO_CUBIC:LINEARLY_GRADED_ZERO,10 Years,104.736968,8.025538,73.795700
PIECEWISE_ZERO_CUBIC:LINEARLY_GRADED_ZERO,20 Years,101.097535,12.706359,211.462971
PIECEWISE_ZERO_CUBIC:LINEARLY_GRADED_ZERO,30 Years,101.946302,15.688560,356.698386
PIECEWISE_ZERO_CUBIC:ROLLING_AVERAGE_ZERO,5 Years,104.332603,4.497394,21.590184
PIECEWISE_ZERO_CUBIC:ROLLING_AVERAGE_ZERO,10 Years,104.736968,8.025538,73.795700
PIECEWISE_ZERO_CUBIC:ROLLING_AVERAGE_ZERO,20 Years,101.097535,12.706359,211.462971
PIECEWISE_ZERO_CUBIC:ROLLING_AVERAGE_ZERO,30 Years,102.011507,15.697710,357.045701
PIECEWISE_ZERO_CUBIC:DUAL_BLENDED_ZERO,5 Years,104.328912,4.497294,21.589531
PIECEWISE_ZERO_CUBIC:DUAL_BLENDED_ZERO,10 Years,104.698575,8.024718,73.785557
PIECEWISE_ZERO_CUBIC:DUAL_BLENDED_ZERO,20 Years,101.040521,12.703670,211.405856
PIECEWISE_ZERO_CUBIC:DUAL_BLENDED_ZERO,30 Years,101.858525,15.680767,356.437604
FITTED_NELSON_SIEGEL:FLAT_FORWARD,5 Years,103.117710,4.493933,21.568919
FITTED_NELSON_SIEGEL:FLAT_FORWARD,10 Years,104.359217,8.033029,73.908763
FITTED_NELSON_SIEGEL:FLAT_FORWARD,20 Years,103.554741,12.893340,215.975827
FITTED_NELSON_SIEGEL:FLAT_FORWARD,30 Years,101.046747,15.522073,349.297751
FITTED_NELSON_SIEGEL:CONSTANT_FORWARD,5 Years,103.117710,4.493933,21.568919
FITTED_NELSON_SIEGEL:CONSTANT_FORWARD,10 Years,104.359217,8.033029,73.908763
FITTED_NELSON_SIEGEL:CONSTANT_FORWARD,20 Years,103.554741,12.893340,215.975827
FITTED_NELSON_SIEGEL:CONSTANT_FORWARD,30 Years,101.048855,15.522375,349.309239
FITTED_NELSON_SIEGEL:LINEARLY_GRADED_FORWARD,5 Years,103.117710,4.493933,21.568919
FITTED_NELSON_SIEGEL:LINEARLY_GRADED_FORWARD,10 Years,104.359217,8.033029,73.908763
FITTED_NELSON_SIEGEL:LINEARLY_GRADED_FORWARD,20 Years,103.554741,12.893340,215.975827
FITTED_NELSON_SIEGEL:LINEARLY_GRADED_FORWARD,30 Years,101.046763,15.522075,349.297840
FITTED_NELSON_SIEGEL:ROLLING_AVERAGE_FORWARD,5 Years,103.117710,4.493933,21.568919
FITTED_NELSON_SIEGEL:ROLLING_AVERAGE_FORWARD,10 Years,104.359217,8.033029,73.908763
FITTED_NELSON_SIEGEL:ROLLING_AVERAGE_FORWARD,20 Years,103.554741,12.893340,215.975827
FITTED_NELSON_SIEGEL:ROLLING_AVERAGE_FORWARD,30 Years,101.047059,15.522117,349.299450
FITTED_NELSON_SIEGEL:DUAL_BLENDED_FORWARD,5 Years,103.117710,4.493933,21.568919
FITTED_NELSON_SIEGEL:DUAL_BLENDED_FORWARD,10 Years,104.359217,8.033029,73.908763
FITTED_NELSON_SIEGEL:DUAL_BLENDED_FORWARD,20 Years,103.554741,12.893340,215.975827
FITTED_NELSON_SIEGEL:DUAL_BLENDED_FORWARD,30 Years,101.046747,15.522073,349.297751
FITTED_NELSON_SIEGEL:FLAT_ZERO,5 Years,103.131630,4.493975,21.569183
FITTED_NELSON_SIEGEL:FLAT_ZERO,10 Years,104.385471,8.033331,73.912465
FITTED_NELSON_SIEGEL:FLAT_ZERO,20 Years,103.602154,12.895271,216.021366
FITTED_NELSON_SIEGEL:FLAT_ZERO,30 Years,101.112377,15.527570,349.485755
FITTED_NELSON_SIEGEL:CONSTANT_ZERO,5 Years,103.131630,4.493975,21.569183
FITTED_NELSON_SIEGEL:CONSTANT_ZERO,10 Years,104.385471,8.033331,73.912465
FITTED_NELSON_SIEGEL:CONSTANT_ZERO,20 Years,103.602154,12.895271,216.021366
FITTED_NELSON_SIEGEL:CONSTANT_ZERO,30 Years,101.189916,15.538664,349.907652
FITTED_NELSON_SIEGEL:LINEARLY_GRADED_ZERO,5 Years,103.131630,4.493975,21.569183
FITTED_NELSON_SIEGEL:LINEARLY_GRADED_ZERO,10 Years,104.385471,8.033331,73.912465
FITTED_NELSON_SIEGEL:LINEARLY_GRADED_ZERO,20 Years,103.602154,12.895271,216.021366
FITTED_NELSON_SIEGEL:LINEARLY_GRADED_ZERO,30 Years,101.112970,15.527655,349.488988
FITTED_NELSON_SIEGEL:ROLLING_AVERAGE_ZERO,5 Years,103.131630,4.493975,21.569183
FITTED_NELSON_SIEGEL:ROLLING_AVERAGE_ZERO,10 Years,104.385471,8.033331,73.912465
FITTED_NELSON_SIEGEL:ROLLING_AVERAGE_ZERO,20 Years,103.602154,12.895271,216.021366
FITTED_NELSON_SIEGEL:ROLLING_AVERAGE_ZERO,30 Years,101.167086,15.535399,349.783501
FITTED_NELSON_SIEGEL:DUAL_BLENDED_ZERO,5 Years,103.117710,4.493933,21.568919
FITTED_NELSON_SIEGEL:DUAL_BLENDED_ZERO,10 Years,104.359217,8.033029,73.908763
FITTED_NELSON_SIEGEL:DUAL_BLENDED_ZERO,20 Years,103.554741,12.893340,215.975827
FITTED_NELSON_SIEGEL:DUAL_BLENDED_ZERO,30 Years,101.046747,15.522073,349.297751
FITTED_NELSON_SIEGEL_SVENSSON:FLAT_FORWARD,5 Years,104.429516,4.497574,21.591049
FITTED_NELSON_SIEGEL_SVENSSON:FLAT_FORWARD,10 Years,104.089856,8.012734,73.629054
FITTED_NELSON_SIEGEL_SVENSSON:FLAT_FORWARD,20 Years,101.834105,12.761748,212.889125
FITTED_NELSON_SIEGEL_SVENSSON:FLAT_FORWARD,30 Years,102.265781,15.735571,358.498746
FITTED_NELSON_SIEGEL_SVENSSON:CONSTANT_FORWARD,5 Years,104.429516,4.497574,21.591049
FITTED_NELSON_SIEGEL_SVENSSON:CONSTANT_FORWARD,10 Years,104.089856,8.012734,73.629054
