CurveName,Tenor,NPV,Duration,Convexity
PIECEWISE_ZERO_CUBIC:CONSTANT_ZERO,10 Years,104.736940,8.025432,73.795319
PIECEWISE_ZERO_CUBIC:CONSTANT_ZERO,20 Years,101.102170,12.701258,211.302520
PIECEWISE_ZERO_CUBIC:CONSTANT_ZERO,30 Years,101.915033,15.673429,356.140434
PIECEWISE_ZERO_CUBIC:LINEARLY_GRADED_ZERO,5 Years,104.332603,4.497377,21.590140
PIECEWISE_ZERO_CUBIC:LINEARLY_GRADED_ZERO,10 Years,104.736940,8.025432,73.795319
PIECEWISE_ZERO_CUBIC:LINEARLY_GRADED_ZERO,20 Years,101.102170,12.701258,211.302520
PIECEWISE_ZERO_CUBIC:LINEARLY_GRADED_ZERO,30 Years,101.947556,15.677999,356.313934
PIECEWISE_ZERO_CUBIC:ROLLING_AVERAGE_ZERO,5 Years,104.332603,4.497377,21.590140
PIECEWISE_ZERO_CUBIC:ROLLING_AVERAGE_ZERO,10 Years,104.736940,8.025432,73.795319
PIECEWISE_ZERO_CUBIC:ROLLING_AVERAGE_ZERO,20 Years,101.102170,12.701258,211.302520
PIECEWISE_ZERO_CUBIC:ROLLING_AVERAGE_ZERO,30 Years,102.000638,15.685452,356.596871
FITTED_NELSON_SIEGEL:FLAT_FORWARD,5 Years,103.126009,4.493942,21.569046
FITTED_NELSON_SIEGEL:FLAT_FORWARD,10 Years,104.377842,8.033149,73.911126
FITTED_NELSON_SIEGEL:FLAT_FORWARD,20 Years,103.594619,12.894500,216.012842
FITTED_NELSON_SIEGEL:FLAT_FORWARD,30 Years,101.103150,15.525658,349.451079
FITTED_NELSON_SIEGEL:CONSTANT_FORWARD,5 Years,103.126009,4.493942,21.569046
FITTED_NELSON_SIEGEL:CONSTANT_FORWARD,10 Years,104.377842,8.033149,73.911126
FITTED_NELSON_SIEGEL:CONSTANT_FORWARD,20 Years,103.594619,12.894500,216.012842
FITTED_NELSON_SIEGEL:CONSTANT_FORWARD,30 Years,101.105246,15.525958,349.462496
FITTED_NELSON_SIEGEL:LINEARLY_GRADED_FORWARD,5 Years,103.126009,4.493942,21.569046
FITTED_NELSON_SIEGEL:LINEARLY_GRADED_FORWARD,10 Years,104.377842,8.033149,73.911126
FITTED_NELSON_SIEGEL:LINEARLY_GRADED_FORWARD,20 Years,103.594619,12.894500,216.012842
FITTED_NELSON_SIEGEL:LINEARLY_GRADED_FORWARD,30 Years,101.103166,15.525661,349.451166
FITTED_NELSON_SIEGEL:ROLLING_AVERAGE_FORWARD,5 Years,103.126009,4.493942,21.569046
FITTED_NELSON_SIEGEL:ROLLING_AVERAGE_FORWARD,10 Years,104.377842,8.033149,73.911126
FITTED_NELSON_SIEGEL:ROLLING_AVERAGE_FORWARD,20 Years,103.594619,12.894500,216.012842
FITTED_NELSON_SIEGEL:ROLLING_AVERAGE_FORWARD,30 Years,101.103461,15.525703,349.452773
FITTED_NELSON_SIEGEL:FLAT_ZERO,5 Years,103.139888,4.493984,21.569309
FITTED_NELSON_SIEGEL:FLAT_ZERO,10 Years,104.404018,8.033449,73.914816
FITTED_NELSON_SIEGEL:FLAT_ZERO,20 Years,103.641890,12.896423,216.058206
FITTED_NELSON_SIEGEL:FLAT_ZERO,30 Years,101.168588,15.531133,349.638317
FITTED_NELSON_SIEGEL:CONSTANT_ZERO,5 Years,103.139888,4.493984,21.569309
FITTED_NELSON_SIEGEL:CONSTANT_ZERO,10 Years,104.404018,8.033449,73.914816
FITTED_NELSON_SIEGEL:CONSTANT_ZERO,20 Years,103.641890,12.896423,216.058206
FITTED_NELSON_SIEGEL:CONSTANT_ZERO,30 Years,101.243424,15.541828,350.045127
FITTED_NELSON_SIEGEL:LINEARLY_GRADED_ZERO,5 Years,103.139888,4.493984,21.569309
FITTED_NELSON_SIEGEL:LINEARLY_GRADED_ZERO,10 Years,104.404018,8.033449,73.914816
FITTED_NELSON_SIEGEL:LINEARLY_GRADED_ZERO,20 Years,103.641890,12.896423,216.058206
FITTED_NELSON_SIEGEL:LINEARLY_GRADED_ZERO,30 Years,101.169161,15.531215,349.641435
FITTED_NELSON_SIEGEL:ROLLING_AVERAGE_ZERO,5 Years,103.139888,4.493984,21.569309
FITTED_NELSON_SIEGEL:ROLLING_AVERAGE_ZERO,10 Years,104.404018,8.033449,73.914816
FITTED_NELSON_SIEGEL:ROLLING_AVERAGE_ZERO,20 Years,103.641890,12.896423,216.058206
FITTED_NELSON_SIEGEL:ROLLING_AVERAGE_ZERO,30 Years,101.223199,15.538939,349.935244
FITTED_NELSON_SIEGEL_SVENSSON:FLAT_FORWARD,5 Years,104.399335,4.497421,21.590144
FITTED_NELSON_SIEGEL_SVENSSON:FLAT_FORWARD,10 Years,104.209688,8.014981,73.659675
FITTED_NELSON_SIEGEL_SVENSSON:FLAT_FORWARD,20 Years,101.913413,12.762847,212.899855
FITTED_NELSON_SIEGEL_SVENSSON:FLAT_FORWARD,30 Years,102.209578,15.717515,357.819332
FITTED_NELSON_SIEGEL_SVENSSON:CONSTANT_FORWARD,5 Years,104.399335,4.497421,21.590144
FITTED_NELSON_SIEGEL_SVENSSON:CONSTANT_FORWARD,10 Years,104.209688,8.014981,73.659675
FITTED_NELSON_SIEGEL_SVENSSON:CONSTANT_FORWARD,20 Years,101.913413,12.762847,212.899855
FITTED_NELSON_SIEGEL_SVENSSON:CONSTANT_FORWARD,30 Years,102.207955,15.717288,357.810723
FITTED_NELSON_SIEGEL_SVENSSON:LINEARLY_GRADED_FORWARD,5 Years,104.399335,4.497421,21.590144
FITTED_NELSON_SIEGEL_SVENSSON:LINEARLY_GRADED_FORWARD,10 Years,104.209688,8.014981,73.659675
FITTED_NELSON_SIEGEL_SVENSSON:LINEARLY_GRADED_FORWARD,20 Years,101.913413,12.762847,212.899855
FITTED_NELSON_SIEGEL_SVENSSON:LINEARLY_GRADED_FORWARD,30 Years,102.209565,15.717513,357.819266
FITTED_NELSON_SIEGEL_SVENSSON:ROLLING_AVERAGE_FORWARD,5 Years,104.399335,4.497421,21.590144
